farming,metric,Algorithm,value,Entropy
farming,Density,Greedy,0.01,Features
farming,Density,Greedy,0.01,Features
farming,Density,Greedy,0.01,Features
farming,Density,Greedy,0.01,Features
farming,Density,Greedy,0.01,Features
farming,Density,Greedy,0.01,Features
farming,Density,Hierarchical,0,Features
farming,Density,Hierarchical,0,Features
farming,Density,Hierarchical,0,Features
farming,Density,Hierarchical,0,Features
farming,Density,Hierarchical,0.01,Features
farming,Density,Hierarchical,0.01,Features
farming,CC,Greedy,2620,Features
farming,CC,Greedy,2754,Features
farming,CC,Greedy,2671,Features
farming,CC,Greedy,2654,Features
farming,CC,Greedy,2621,Features
farming,CC,Greedy,2712,Features
farming,CC,Hierarchical,1089,Features
farming,CC,Hierarchical,822,Features
farming,CC,Hierarchical,470,Features
farming,CC,Hierarchical,834,Features
farming,CC,Hierarchical,3249,Features
farming,CC,Hierarchical,35,Features
farming,CNC,Greedy,4.69,Features
farming,CNC,Greedy,4.76,Features
farming,CNC,Greedy,4.66,Features
farming,CNC,Greedy,4.69,Features
farming,CNC,Greedy,4.68,Features
farming,CNC,Greedy,4.77,Features
farming,CNC,Hierarchical,1.99,Features
farming,CNC,Hierarchical,2,Features
farming,CNC,Hierarchical,2.01,Features
farming,CNC,Hierarchical,2.01,Features
farming,CNC,Hierarchical,4.68,Features
farming,CNC,Hierarchical,1.19,Features
farming,CFC,Greedy,2618,Features
farming,CFC,Greedy,2752,Features
farming,CFC,Greedy,2669,Features
farming,CFC,Greedy,2652,Features
farming,CFC,Greedy,2619,Features
farming,CFC,Greedy,2710,Features
farming,CFC,Hierarchical,1087,Features
farming,CFC,Hierarchical,820,Features
farming,CFC,Hierarchical,468,Features
farming,CFC,Hierarchical,832,Features
farming,CFC,Hierarchical,3247,Features
farming,CFC,Hierarchical,33,Features
farming,Quality,Greedy,713.49,Features
farming,Quality,Greedy,721.62,Features
farming,Quality,Greedy,714.25,Features
farming,Quality,Greedy,715.17,Features
farming,Quality,Greedy,710.65,Features
farming,Quality,Greedy,713.49,Features
farming,Quality,Hierarchical,108.75,Features
farming,Quality,Hierarchical,781.51,Features
farming,Quality,Hierarchical,399.5,Features
farming,Quality,Hierarchical,802.13,Features
farming,Quality,Hierarchical,866.2,Features
farming,Quality,Hierarchical,80,Features
